title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Don't Be Shy","Tiësto, KAROL G","Don't Be Shy",CYA112000981,spotify,0bI7K9Becu2dtXK1Q3cZNB,141s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
"Mount Everest",Labrinth,"Imagination & the Misfit Kid",GBHMU1800032,spotify,1ZdhOMWyFR8Iv9eylMGYg2,157s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2
"Feel Like Home","Rival, Laura Brehm, caravan, Lea Brückner","Feel Like Home",NL4NL2215266,spotify,4rVoK6VCHds9OM9xt0Ya8x,242s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4rVoK6VCHds9OM9xt0Ya8x
"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd, Ariana Grande","Save Your Tears (Remix)",USUG12101839,spotify,37BZB0z9T8Xu7U3e65qxFy,191s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
"Heartbreak Anthem (with David Guetta & Little Mix)","Galantis, David Guetta, Little Mix","Heartbreak Anthem (with David Guetta & Little Mix)",USAT22102165,spotify,5K6Ssv4Z3zRvxt0P6EKUAP,184s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
"Happier Than Ever","Billie Eilish","Happier Than Ever",USUM72105936,spotify,4RVwu0g32PAqgUiJoXsdF8,299s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
"The Motto","Besomage, Meric Again, HALUNA","The Motto",QZFZ62217446,spotify,2o4RhNk0h2mFoO9Zm8OtZd,137s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/2o4RhNk0h2mFoO9Zm8OtZd
"Heartbreak Anniversary",Giveon,"TAKE TIME",USSM12000998,spotify,3FAJ6O0NOHQV8Mc5Ri6ENp,198s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
Rasputin,"Majestic, Boney M.",Rasputin,DEE862100256,spotify,0b18g3G5spr4ZCkz7Y6Q0Q,186s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
"Don't Hate The Party","Limón Limón","Don't Hate The Party",QM4TX2239473,spotify,2xpnrZ4rekdmYVHc2z4iv4,228s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/2xpnrZ4rekdmYVHc2z4iv4
"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry, Jax Jones, Charli XCX, Saweetie","OUT OUT (feat. Charli XCX & Saweetie)",UK4ZF2100518,spotify,6Dy1jexKYriXAVG6evyUTJ,163s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
Bored,"Billie Eilish",Bored,USUM71702756,spotify,04sN26COy28wTXYj3dMoiZ,181s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
"Todo De Ti","Rauw Alejandro","Todo De Ti",USSD12100202,spotify,4fSIb4hdOQ151TILNsSEaF,200s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
"Never Going Back Again",Johnning,"Never Going Back Again",QMDA62181522,spotify,3e4A8k7lgVcL7OJk5gAtQM,187s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/3e4A8k7lgVcL7OJk5gAtQM
"deja vu","Olivia Rodrigo","deja vu",USUG12101240,spotify,61KpQadow081I2AsbeLcsb,216s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
BED,"Joel Corry, RAYE, David Guetta",BED,UK4ZF2100069,spotify,7jXQUrVhEpXdymfFWNDnQW,178s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/7jXQUrVhEpXdymfFWNDnQW
"I Love You So","The Walters","I Love You So",TCACC1438995,spotify,4SqWKzw0CbA05TGszDgMlc,160s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
Hangover,"Arya, GOVAN",Hangover,QM4TW2233891,spotify,1XLBZ2QVbhodLfnw2v1QDP,141s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/1XLBZ2QVbhodLfnw2v1QDP
"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine","Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit]",GBCEN2000163,spotify,4cG7HUWYHBV6R6tHn1gxrl,169s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
telepatía,"Kali Uchis","Sin Miedo (del Amor y Otros Demonios) ∞",GBUM72005748,spotify,6tDDoYIxWvMLTdKpjFkc1B,160s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
"Coming Home","BRAN, Meric Again, Besomage, HALUNA","Coming Home",QM42K2229950,spotify,5sB3KGBcA8lUTeHKog9Bdl,126s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/5sB3KGBcA8lUTeHKog9Bdl
Dandelions,"Ruth B.","Safe Haven",USSM11703468,spotify,2eAvDnpXP5W0cVtiI0PUxV,234s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
"Ruin Your Life","Besomorph, RIELL","Ruin Your Life",QZFZ42226552,spotify,7rnNkVDXH6RQUNQTXVClCr,153s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/7rnNkVDXH6RQUNQTXVClCr
"we fell in love in october","girl in red","we fell in love in october / forget her",GBKPL1828677,spotify,1BYZxKSf0aTxp8ZFoeyM3d,184s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d
"Goosebumps - Remix","Travis Scott, HVME","Goosebumps (Remix)",USSM12100202,spotify,5uEYRdEIh9Bo4fpjDd4Na9,163s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
Racecar,AFTRHOURS,Racecar,QM4TX2201548,spotify,6fzb41zBCPiyXxDP6TteUc,152s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/6fzb41zBCPiyXxDP6TteUc
"The Motto","Tiësto, Ava Max","The Motto",CYA112001070,spotify,18asYwWugKjjsihZ0YvRxO,165s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
Hotel,"Montell Fish",Hotel,QZVBE2200009,spotify,0JzG1wJuB4v9UPkSE7LMXi,197s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/0JzG1wJuB4v9UPkSE7LMXi
"Save Me Pls",Meric,"Save Me Pls",QM4TW2227888,spotify,4AZ8bkS4vANlwRiKueJvQN,186s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4AZ8bkS4vANlwRiKueJvQN
"golden hour",JVKE,"golden hour",GBKPL2204171,spotify,6GD1eomgaGT1Epto6Q5eAo,209s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/6GD1eomgaGT1Epto6Q5eAo
"I Was Never There","The Weeknd, Gesaffelstein","My Dear Melancholy,",USUG11800570,spotify,1cKHdTo9u0ZymJdPGSh6nq,241s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/1cKHdTo9u0ZymJdPGSh6nq
"Talking To The Moon","sad girls","Talking To The Moon",QZES52241161,spotify,0LezpLVQS5ytU5V0kJNgU6,117s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/0LezpLVQS5ytU5V0kJNgU6
"WITHOUT YOU","The Kid LAROI","F*CK LOVE (SAVAGE)",USSM12006586,spotify,27OeeYzk6klgBh83TSvGMA,161s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
"Tell It To My Heart","MEDUZA, Hozier","Tell It To My Heart",GBUM72106958,spotify,46nvQpUDsxpS08UTFOeKTA,166s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/46nvQpUDsxpS08UTFOeKTA
"New Americana","BRAN, Meric Again, Bromage, HALUNA","New Americana",QM42K2248522,spotify,5KufrtYq3lzKHSBfUutr9j,134s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/5KufrtYq3lzKHSBfUutr9j
