title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
Afterglow,"Ed Sheeran",Afterglow,GBAHS2001193,spotify,0E4Y1XIbs8GrAT1YqVy6dq,185s,"2021-05-18 16:47",nick170708!,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
"GIRL LIKE ME","Black Eyed Peas, Shakira",TRANSLATION,USSM12003440,spotify,1zLBsSVxETQOfINOLYvT5m,223s,"2021-05-18 16:48",nick170708!,https://open.spotify.com/track/1zLBsSVxETQOfINOLYvT5m
"Prisoner (feat. Dua Lipa)","Miley Cyrus, Dua Lipa","Prisoner (feat. Dua Lipa)",USRC12003364,spotify,5JqZ3oqF00jkT81foAFvqg,169s,"2021-05-18 16:49",nick170708!,https://open.spotify.com/track/5JqZ3oqF00jkT81foAFvqg
"Blinding Lights","The Weeknd","After Hours",USUG11904206,spotify,0VjIjW4GlUZAMYd2vXMi3b,200s,"2021-05-18 16:49",nick170708!,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
"LA NOCHE DE ANOCHE","Bad Bunny, ROSALÍA","EL ÚLTIMO TOUR DEL MUNDO",QMFME2066840,spotify,2XIc1pqjXV3Cr2BQUGNBck,203s,"2021-05-18 16:49",nick170708!,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5, Megan Thee Stallion","Beautiful Mistakes (feat. Megan Thee Stallion)",USUM72103449,spotify,6fRxMU4LWwyaSSowV441IU,227s,"2021-05-18 16:49",nick170708!,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
"Therefore I Am","Billie Eilish","Therefore I Am",USUM72021500,spotify,54bFM56PmE4YLRnqpW6Tha,174s,"2021-05-18 16:49",nick170708!,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
"test drive","Ariana Grande","Positions (Deluxe)",USUM72102132,spotify,3eZYOQO4UzKrUDYDghtnFw,122s,"2021-05-18 16:49",nick170708!,https://open.spotify.com/track/3eZYOQO4UzKrUDYDghtnFw
"The Business",Tiësto,"The Business",CYA112000624,spotify,6f3Slt0GbA2bPZlz0aIFXN,164s,"2021-05-18 16:49",nick170708!,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
Lemonade,"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",QZJ842000368,spotify,02kDW379Yfd5PzW5A6vuGt,195s,"2021-05-18 16:50",nick170708!,https://open.spotify.com/track/02kDW379Yfd5PzW5A6vuGt
